Date,VADER Sentiment,FinBERT Sentiment,GPT Sentiment
2022-01-03,0.0,3.0,1.0
2022-01-04,1.0,11.0,2.0
2022-01-05,5.0,5.0,3.0
2022-01-06,-4.0,0.0,5.0
2022-01-07,2.0,4.0,0.0
2022-01-08,1.0,1.0,1.0
2022-01-09,3.0,3.0,2.0
2022-01-10,-1.0,1.0,0.0
2022-01-11,-1.0,2.0,0.0
2022-01-12,2.0,3.0,2.0
2022-01-13,0.0,4.0,1.0
2022-01-14,2.0,3.0,2.0
2022-01-15,3.0,6.0,0.0
2022-01-16,2.0,0.0,1.0
2022-01-17,2.0,2.0,1.0
2022-01-18,1.0,2.0,1.0
2022-01-19,2.0,3.0,1.0
2022-01-20,5.0,7.0,4.0
2022-01-21,5.0,6.0,5.0
2022-01-22,1.0,3.0,0.0
2022-01-23,7.0,6.0,2.0
2022-01-24,0.0,4.0,2.0
2022-01-25,2.0,3.0,1.0
2022-01-26,4.0,5.0,2.0
2022-01-27,4.0,7.0,0.0
2022-01-28,6.0,10.0,5.0
2022-01-29,2.0,4.0,0.0
2022-01-30,1.0,2.0,2.0
2022-01-31,2.0,2.0,2.0
2022-02-01,4.0,13.0,5.0
2022-02-02,7.0,8.0,4.0
2022-02-03,2.0,4.0,1.0
2022-02-04,2.0,0.0,3.0
2022-02-05,2.0,6.0,0.0
2022-02-06,1.0,2.0,0.0
2022-02-07,-1.0,6.0,1.0
2022-02-08,1.0,6.0,5.0
2022-02-09,-3.0,7.0,-1.0
2022-02-10,1.0,1.0,1.0
2022-02-11,2.0,10.0,1.0
2022-02-12,0.0,2.0,3.0
2022-02-13,1.0,3.0,-1.0
2022-02-14,0.0,3.0,3.0
2022-02-15,1.0,2.0,3.0
2022-02-16,1.0,1.0,0.0
2022-02-17,0.0,4.0,-1.0
2022-02-18,1.0,7.0,1.0
2022-02-19,-1.0,2.0,2.0
2022-02-20,2.0,2.0,1.0
2022-02-21,-1.0,5.0,-1.0
2022-02-22,-2.0,10.0,5.0
2022-02-23,1.0,-1.0,2.0
2022-02-24,1.0,10.0,2.0
2022-02-25,2.0,5.0,-1.0
2022-02-26,5.0,1.0,2.0
2022-02-27,2.0,1.0,-1.0
2022-02-28,-2.0,10.0,2.0
2022-03-01,3.0,8.0,1.0
2022-03-02,3.0,11.0,4.0
2022-03-03,1.0,8.0,3.0
2022-03-04,10.0,26.0,11.0
2022-03-05,3.0,17.0,7.0
2022-03-06,1.0,6.0,0.0
2022-03-07,5.0,43.0,9.0
2022-03-08,19.0,25.0,11.0
2022-03-09,7.0,18.0,2.0
2022-03-10,1.0,11.0,-1.0
2022-03-11,8.0,11.0,3.0
2022-03-12,6.0,6.0,2.0
2022-03-13,1.0,4.0,1.0
2022-03-14,2.0,13.0,0.0
2022-03-15,2.0,9.0,2.0
2022-03-16,0.0,8.0,1.0
2022-03-17,3.0,6.0,2.0
2022-03-18,3.0,6.0,2.0
2022-03-19,3.0,3.0,1.0
2022-03-20,1.0,1.0,1.0
2022-03-21,2.0,8.0,4.0
2022-03-22,1.0,2.0,0.0
2022-03-23,3.0,7.0,-2.0
2022-03-24,1.0,3.0,2.0
2022-03-25,2.0,3.0,1.0
2022-03-26,1.0,5.0,-1.0
2022-03-27,0.0,2.0,0.0
2022-03-28,1.0,1.0,0.0
2022-03-29,-1.0,5.0,0.0
2022-03-30,2.0,5.0,1.0
2022-03-31,0.0,2.0,1.0
2022-04-01,1.0,6.0,4.0
2022-04-02,-1.0,0.0,0.0
2022-04-03,2.0,3.0,1.0
2022-04-04,6.0,2.0,2.0
2022-04-05,6.0,13.0,7.0
2022-04-06,2.0,12.0,6.0
2022-04-07,1.0,1.0,2.0
2022-04-08,1.0,2.0,0.0
2022-04-09,0.0,2.0,0.0
2022-04-10,1.0,1.0,1.0
2022-04-11,2.0,0.0,0.0
2022-04-12,1.0,4.0,0.0
2022-04-13,2.5,5.5,2.0
2022-04-14,4.0,7.0,4.0
2022-04-15,2.5,4.0,2.5
2022-04-16,1.0,1.0,1.0
2022-04-17,0.0,1.5,1.0
2022-04-18,-1.0,2.0,1.0
2022-04-19,0.0,3.0,0.0
2022-04-20,-1.0,1.0,-1.0
2022-04-21,2.0,5.0,4.0
2022-04-22,2.0,0.0,2.0
2022-04-23,1.0,8.0,4.0
2022-04-24,2.0,3.0,2.0
2022-04-25,-1.0,2.0,-1.0
2022-04-26,-2.0,3.0,0.0
2022-04-27,0.0,4.0,1.0
2022-04-28,3.0,10.0,0.0
2022-04-29,-2.0,6.0,2.0
2022-04-30,2.0,4.0,1.0
2022-05-01,3.0,4.0,1.0
2022-05-02,1.0,10.0,5.0
2022-05-03,0.0,4.0,2.0
2022-05-04,2.0,4.0,0.0
2022-05-05,1.0,11.0,6.0
2022-05-06,2.0,10.0,5.0
2022-05-07,0.0,5.0,4.0
2022-05-08,3.0,8.0,3.0
2022-05-09,7.0,10.0,2.0
2022-05-10,3.0,15.0,5.0
2022-05-11,3.0,9.0,2.0
2022-05-12,-1.0,4.0,0.0
2022-05-13,4.0,1.0,3.0
