Date,VADER Sentiment,FinBERT Sentiment,GPT Sentiment
2022-01-03,0.0,1.0,0.0
2022-01-04,0.5,1.0,0.1
2022-01-05,0.0,0.75,0.0
2022-01-06,0.625,0.8125,0.125
2022-01-07,0.3,0.6,0.2
2022-01-08,0.0,0.875,0.125
2022-01-09,0.5,1.0,0.5
2022-01-10,0.5714285714285714,0.7142857142857143,0.2142857142857142
2022-01-11,0.3636363636363636,0.8181818181818182,0.3636363636363636
2022-01-12,0.5,0.6666666666666666,0.3333333333333333
2022-01-13,0.1333333333333333,0.6,0.0
2022-01-14,0.3846153846153846,0.6538461538461539,0.1923076923076923
2022-01-15,0.6666666666666666,1.0,0.3333333333333333
2022-01-16,0.4545454545454545,0.4545454545454545,0.3636363636363636
2022-01-17,0.125,0.875,0.125
2022-01-18,0.1071428571428571,0.3571428571428571,-0.25
2022-01-19,0.4230769230769231,0.6153846153846154,-0.0769230769230769
2022-01-20,0.25,1.0,0.5
2022-01-21,0.1333333333333333,0.7333333333333333,0.0666666666666666
2022-01-22,0.1428571428571428,1.0,0.2857142857142857
2022-01-23,1.0,0.5,-0.5
2022-01-24,-0.125,0.875,-0.125
2022-01-25,0.3333333333333333,0.8888888888888888,0.0555555555555555
2022-01-26,0.2,0.6666666666666666,0.2
2022-01-27,0.3333333333333333,1.0,0.0
2022-01-28,0.6,1.0,0.2
2022-01-29,1.0,1.0,1.0
2022-01-30,0.5,0.0,1.0
2022-01-31,-0.3333333333333333,1.0,0.0
2022-02-01,0.5882352941176471,0.8235294117647058,0.2352941176470588
2022-02-02,0.6666666666666666,0.3333333333333333,0.3333333333333333
2022-02-03,0.0,1.0,0.0
2022-02-04,0.0,1.0,-0.1428571428571428
2022-02-05,0.6,1.0,0.0
2022-02-06,1.0,1.0,0.25
2022-02-07,-0.6,0.6,0.0
2022-02-08,0.0,1.0,0.2857142857142857
2022-02-09,0.0,1.0,0.3333333333333333
2022-02-10,0.75,1.0,0.5
2022-02-11,0.25,0.75,0.25
2022-02-12,0.6,1.0,-0.2
2022-02-13,0.0,0.0,0.5
2022-02-14,0.6666666666666666,1.0,0.5
2022-02-15,0.0,0.5,-0.5
2022-02-16,0.0,1.0,-0.2
2022-02-17,0.3333333333333333,1.0,0.3333333333333333
2022-02-18,0.0,1.0,-0.5
2022-02-19,-0.4,1.0,-0.2
2022-02-20,0.6666666666666666,0.3333333333333333,1.0
2022-02-21,0.5,1.0,0.5
2022-02-22,0.0,0.0,1.0
2022-02-23,0.3333333333333333,1.0,0.3333333333333333
2022-02-24,0.4444444444444444,0.7777777777777778,0.3333333333333333
2022-02-25,-1.0,0.0,0.0
2022-02-26,-1.0,1.0,-1.0
2022-02-27,0.6666666666666666,1.0,-0.3333333333333333
2022-02-28,-0.75,0.75,0.5
2022-03-01,0.5384615384615384,0.6923076923076923,-0.0769230769230769
2022-03-02,0.8571428571428571,0.7142857142857143,0.4285714285714285
2022-03-03,1.0,1.0,-1.0
2022-03-04,0.375,0.75,0.0
2022-03-05,0.0,1.0,0.0
2022-03-06,0.5,1.0,0.25
2022-03-07,-0.1111111111111111,0.6666666666666666,-0.3333333333333333
2022-03-08,-0.6666666666666666,1.0,0.3333333333333333
2022-03-09,0.4285714285714285,0.5714285714285714,-0.2857142857142857
2022-03-10,-0.4444444444444444,0.7777777777777778,-0.8888888888888888
2022-03-11,0.0,1.0,0.0
2022-03-12,-1.0,1.0,1.0
2022-03-13,0.3333333333333333,1.0,0.3333333333333333
2022-03-14,0.2857142857142857,0.4285714285714285,0.4285714285714285
2022-03-15,1.0,0.0,0.0
2022-03-16,0.8,1.0,0.2
2022-03-17,1.0,0.6666666666666666,0.0
2022-03-18,0.375,1.0,0.125
2022-03-19,0.6875,1.0,0.22916666666666666
2022-03-20,1.0,1.0,0.3333333333333333
2022-03-21,0.0,0.75,0.25
2022-03-22,0.0,1.0,0.0
2022-03-23,0.3333333333333333,0.6666666666666666,0.3333333333333333
2022-03-24,0.5,0.6666666666666666,0.6666666666666666
2022-03-25,0.6,1.0,0.2
2022-03-26,0.6666666666666666,1.0,0.3333333333333333
2022-03-27,0.0,0.25,-0.25
2022-03-28,0.0,0.6666666666666666,0.6666666666666666
2022-03-29,1.0,1.0,0.0
2022-03-30,0.1666666666666666,0.6666666666666666,0.3333333333333333
2022-03-31,-1.0,1.0,0.0
2022-04-01,0.0,0.625,0.25
2022-04-02,1.0,1.0,0.0
2022-04-03,1.0,1.0,0.75
2022-04-04,0.0,0.875,0.125
2022-04-05,0.0,1.0,0.3333333333333333
2022-04-06,0.2857142857142857,0.7142857142857143,0.4285714285714285
2022-04-07,0.2857142857142857,1.0,0.1428571428571428
2022-04-08,0.25,0.75,0.125
2022-04-09,0.0,0.9,0.1
2022-04-10,0.0,1.0,0.1428571428571428
2022-04-11,0.125,1.0,0.25
2022-04-12,0.2222222222222222,0.5555555555555556,0.4444444444444444
2022-04-13,-0.1111111111111111,0.7777777777777778,0.0
2022-04-14,0.3636363636363636,0.8181818181818182,0.2727272727272727
2022-04-15,0.0,1.0,-0.25
2022-04-16,0.3333333333333333,1.0,0.3333333333333333
2022-04-17,0.0,0.5,0.0
2022-04-18,-0.125,0.75,0.0
2022-04-19,0.25,0.875,0.375
2022-04-20,0.6666666666666666,1.0,0.3333333333333333
2022-04-21,0.5555555555555556,0.7777777777777778,0.4444444444444444
2022-04-22,0.5,0.8,-0.1
2022-04-23,0.0,-0.3333333333333333,-0.6666666666666666
2022-04-24,0.6666666666666666,0.3333333333333333,-0.3333333333333333
2022-04-25,0.1428571428571428,1.0,0.0
2022-04-26,0.6,1.0,-0.2
2022-04-27,0.4285714285714285,0.8571428571428571,-0.0714285714285714
2022-04-28,0.6,1.0,0.4
2022-04-29,-0.5,1.0,0.25
2022-04-30,1.0,1.0,-1.0
