Date,VADER Sentiment,FinBERT Sentiment,GPT Sentiment
2022-01-03,41.0,75.0,35.0
2022-01-04,36.0,78.0,28.0
2022-01-05,26.0,72.0,11.0
2022-01-06,34.0,84.0,15.0
2022-01-07,19.0,58.0,2.0
2022-01-08,23.0,64.0,8.0
2022-01-09,13.0,41.0,7.0
2022-01-10,17.0,55.0,13.0
2022-01-11,22.0,62.0,6.0
2022-01-12,23.0,70.0,19.0
2022-01-13,34.0,64.0,11.0
2022-01-14,26.0,61.0,16.0
2022-01-15,21.0,45.0,-1.0
2022-01-16,17.0,35.0,3.0
2022-01-17,13.0,43.0,14.0
2022-01-18,55.0,122.0,23.0
2022-01-19,24.0,86.0,7.0
2022-01-20,17.0,66.0,-3.0
2022-01-21,30.0,64.0,7.0
2022-01-22,16.0,54.0,5.0
2022-01-23,17.0,43.0,13.0
2022-01-24,30.0,94.0,14.0
2022-01-25,26.0,145.0,-7.0
2022-01-26,31.0,98.0,17.0
2022-01-27,36.0,100.0,28.0
2022-01-28,43.0,86.0,18.0
2022-01-29,17.0,51.0,20.0
2022-01-30,14.0,27.0,5.0
2022-01-31,27.0,69.0,22.0
2022-02-01,34.0,91.0,41.0
2022-02-02,37.0,90.0,8.0
2022-02-03,14.0,101.0,-14.0
2022-02-04,35.0,103.0,2.0
2022-02-05,14.0,54.0,10.0
2022-02-06,14.0,42.0,3.0
2022-02-07,7.0,64.0,-7.0
2022-02-08,12.0,55.0,-2.0
2022-02-09,26.0,70.0,11.0
2022-02-10,28.0,60.0,5.0
2022-02-11,15.0,45.0,7.0
2022-02-12,11.0,38.0,0.0
2022-02-13,21.0,42.0,8.0
2022-02-14,7.0,32.0,6.0
2022-02-15,16.0,65.0,10.0
2022-02-16,21.0,95.0,13.0
2022-02-17,13.0,88.0,-2.0
2022-02-18,23.0,70.0,14.0
2022-02-19,13.0,41.0,3.0
2022-02-20,10.0,37.0,8.0
2022-02-21,9.0,37.0,7.0
2022-02-22,24.0,65.0,18.0
2022-02-23,5.0,57.0,5.0
2022-02-24,5.0,44.0,1.0
2022-02-25,14.0,36.0,-1.0
2022-02-26,15.0,37.0,2.0
2022-02-27,14.0,29.0,9.0
2022-02-28,15.0,29.0,12.0
2022-03-01,13.0,35.0,5.0
2022-03-02,23.0,66.0,5.0
2022-03-03,26.0,52.0,9.0
2022-03-04,2.0,38.0,3.0
2022-03-05,8.0,29.0,1.0
2022-03-06,3.0,19.0,6.0
2022-03-07,10.0,39.0,5.0
2022-03-08,10.0,45.0,1.0
2022-03-09,22.0,37.0,5.0
2022-03-10,16.0,32.0,-1.0
2022-03-11,8.0,35.0,5.0
2022-03-12,2.0,21.0,1.0
2022-03-13,11.0,23.0,10.0
2022-03-14,0.0,37.0,-1.0
2022-03-15,13.0,32.0,-4.0
2022-03-16,18.0,40.0,1.0
2022-03-17,4.0,24.0,-1.0
2022-03-18,24.0,45.0,12.0
2022-03-19,10.0,26.0,4.0
2022-03-20,16.0,35.0,9.0
2022-03-21,17.0,35.0,3.0
2022-03-22,6.0,41.0,2.0
2022-03-23,17.0,42.0,16.0
2022-03-24,15.0,49.0,14.0
2022-03-25,30.0,51.0,20.0
2022-03-26,27.0,46.0,13.0
2022-03-27,17.0,27.0,7.0
2022-03-28,22.0,38.0,2.0
2022-03-29,21.0,40.0,3.0
2022-03-30,23.0,51.0,13.0
2022-03-31,15.0,32.0,10.0
2022-04-01,2.0,27.0,9.0
2022-04-02,11.0,30.0,6.0
2022-04-03,15.0,28.0,7.0
2022-04-04,10.0,23.0,8.0
2022-04-05,15.0,55.0,2.0
2022-04-06,20.0,53.0,11.0
2022-04-07,11.0,27.0,1.0
2022-04-08,3.0,31.0,6.0
2022-04-09,7.0,27.0,1.0
2022-04-10,11.0,24.0,1.0
2022-04-11,11.0,34.0,-1.0
2022-04-12,17.0,47.0,9.0
2022-04-13,14.0,43.0,9.0
2022-04-14,21.0,44.0,9.0
2022-04-15,5.0,35.0,7.0
2022-04-16,9.0,24.0,0.0
2022-04-17,13.0,32.0,8.0
2022-04-18,13.0,27.0,0.0
2022-04-19,15.0,44.0,6.0
2022-04-20,8.0,40.0,7.0
2022-04-21,15.0,35.0,10.0
2022-04-22,9.0,38.0,2.0
2022-04-23,47.0,147.0,49.0
2022-04-24,23.0,109.0,31.0
2022-04-25,-1.0,36.0,-6.0
2022-04-26,11.0,73.0,6.0
2022-04-27,17.0,48.0,28.0
